;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;664349708;TJPE30126202110051633447888699;cc2777ae6e362852e01b80c3b91ce1f2898f906a7aa11dadc39665ef541627ae;3;1633447888703;;62;59;0;TJPE;G2;586622.0;2021/TJPE/10/G2/TJPE30126202110051633447888699;False;2021-10-05 12:31:28.703;Processado com sucesso
1;664349619;TJPE60707202110051633447887223;2f1a20bd983d88591a51f05a774af2c0e9a38f9cf255296f2f66f1ffa715fc4b;7;1633447887232;;0;0;0;TJPE;G2;;2021/TJPE/10/G2/TJPE60707202110051633447887223;False;2021-10-05 12:31:27.232;Erro no arquivo
2;664349485;TJPE47602202110051633447885082;5889348d7bb09b5310f1aee9e071c52c299282acd5480a661a5a43c7f83c4987;3;1633447885097;;100;96;0;TJPE;G2;1102000.0;2021/TJPE/10/G2/TJPE47602202110051633447885082;False;2021-10-05 12:31:25.097;Processado com sucesso
3;664349372;TJPE23153202110051633447882520;129814daf37bdc13420732a8fe34b61b892ecfe0a3a6213b808b6aa8242d5016;3;1633447882529;;100;97;0;TJPE;G2;1092104.0;2021/TJPE/10/G2/TJPE23153202110051633447882520;False;2021-10-05 12:31:22.529;Processado com sucesso
4;664349227;TJPE34365202110051633447880601;9b75c6d49d1c3df0864572709c3a5b4f2dd86233b57d6cea9a58e361a71ca895;7;1633447880610;;0;0;0;TJPE;G2;;2021/TJPE/10/G2/TJPE34365202110051633447880601;False;2021-10-05 12:31:20.610;Erro no arquivo
5;664349095;TJPE23424202110051633447877882;d9887d368ad5a5a266b2faf6e64bd726b7f362e46d6c096c41963803c168077d;3;1633447877891;;100;99;0;TJPE;G2;1155538.0;2021/TJPE/10/G2/TJPE23424202110051633447877882;False;2021-10-05 12:31:17.891;Processado com sucesso
6;664348973;TJPE23481202110051633447875848;0085ffe5dd460c629924603cebe662b5d1a33ed23496812e3f81bc93cbbaafaa;3;1633447875856;;100;100;0;TJPE;G2;1103315.0;2021/TJPE/10/G2/TJPE23481202110051633447875848;False;2021-10-05 12:31:15.856;Processado com sucesso
7;664348858;TJPE83538202110051633447873497;4302a5c82d66ec13e350a658de99e9a3e3e14248416434bd33c6a4cfd001f581;3;1633447873507;;100;98;0;TJPE;G2;1350051.0;2021/TJPE/10/G2/TJPE83538202110051633447873497;False;2021-10-05 12:31:13.507;Processado com sucesso
8;664348690;TJPE70960202110051633447870289;2f2e1334384cf6c5f4ad47230ed1fbc77087c97a72ade54bc7c30725ac014b5b;3;1633447870298;;100;98;0;TJPE;G2;1152512.0;2021/TJPE/10/G2/TJPE70960202110051633447870289;False;2021-10-05 12:31:10.298;Processado com sucesso
9;664348521;TJPE29511202110051633447867050;f8fe826079d8a2af340fb99ae11559257ec73ab1d2c76601e60ef976229b33ad;3;1633447867060;;100;98;0;TJPE;G2;1285084.0;2021/TJPE/10/G2/TJPE29511202110051633447867050;False;2021-10-05 12:31:07.060;Processado com sucesso
10;664348263;TJPE74135202110051633447862311;8f43baec08c7a70b803bd24181db54a37168752a114fde4c68a73c41b92efabc;3;1633447862366;;100;98;0;TJPE;G2;1239750.0;2021/TJPE/10/G2/TJPE74135202110051633447862311;False;2021-10-05 12:31:02.366;Processado com sucesso
11;664348129;TJPE99317202110051633447859957;7a55c8ffa6d4a966e29355a9b043e0647966888c43007d98322a0e3c1c4682e0;3;1633447859976;;100;94;0;TJPE;G2;1266079.0;2021/TJPE/10/G2/TJPE99317202110051633447859957;False;2021-10-05 12:30:59.976;Processado com sucesso
12;664348005;TJPE74541202110051633447857881;a5f71f2d5fcec6f903cc962d200ab0dea8b3d5efc361a1fe1eeb016bbda55b5e;3;1633447857891;;99;90;0;TJPE;G2;1173973.0;2021/TJPE/10/G2/TJPE74541202110051633447857881;False;2021-10-05 12:30:57.891;Processado com sucesso
