;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;689470735;TJPE57475202111121636750140130;ef90808650109bbf918b2939c7a6f58dcd6f8a03cb341dcd396526d84e4e3bdd;7;1636750140137;;0;0;0;TJPE;G1;;2021/TJPE/11/G1/TJPE57475202111121636750140130;False;2021-11-12 17:49:00.137;Erro no arquivo
1;689470728;TJPE16284202111121636750137143;8a1448763f2c343bbca6266205905f967c5908393db52d33771ea72e681de712;3;1636750137146;;100;100;0;TJPE;G1;391475.0;2021/TJPE/11/G1/TJPE16284202111121636750137143;False;2021-11-12 17:48:57.146;Processado com sucesso
2;689470721;TJPE69515202111121636750134840;c01a8f14fab80b9dcb11da1881da1f740496b3dfabe69f7b20936777c5320aa6;7;1636750134849;;0;0;0;TJPE;G1;;2021/TJPE/11/G1/TJPE69515202111121636750134840;False;2021-11-12 17:48:54.849;Erro no arquivo
3;689470691;TJPE54932202111121636750131719;63442c45168ce9a2ec72ad5004c857f9949e06ecc3812f9041eec9fce27ca7e8;3;1636750131728;;100;100;0;TJPE;G1;1219908.0;2021/TJPE/11/G1/TJPE54932202111121636750131719;False;2021-11-12 17:48:51.728;Processado com sucesso
4;689470654;TJPE14228202111121636750129074;2103e5b51ab0184238c9434aed76200d72f34a4cf7bb672b47e1ce9331bdb2a5;3;1636750129083;;100;100;0;TJPE;G1;1004023.0;2021/TJPE/11/G1/TJPE14228202111121636750129074;False;2021-11-12 17:48:49.083;Processado com sucesso
5;689470651;TJPE14714202111121636750126736;9cacc8d7883a6d63568f407cc8e6943fb1956c776e22019cd5a3ec731059f6db;3;1636750126744;;100;100;0;TJPE;G1;1075679.0;2021/TJPE/11/G1/TJPE14714202111121636750126736;False;2021-11-12 17:48:46.744;Processado com sucesso
6;689470646;TJPE25631202111121636750124402;649001e5c3ab47e5dca0db51ad6c10f699cc6a9c1b5f62787f714f9bcda49399;7;1636750124414;;0;0;0;TJPE;G1;;2021/TJPE/11/G1/TJPE25631202111121636750124402;False;2021-11-12 17:48:44.414;Erro no arquivo
7;689470636;TJPE14460202111121636750121254;4933f14e06aa0df0571311c7b1453dab7d50e4c821440462e8b15714c7cd90a8;3;1636750121262;;100;100;0;TJPE;G1;1062372.0;2021/TJPE/11/G1/TJPE14460202111121636750121254;False;2021-11-12 17:48:41.262;Processado com sucesso
8;689470630;TJPE37176202111121636750119216;71fbf1044344fb82b02f718a46ab5b327203048b65d497734d42901fd1a625da;3;1636750119225;;100;100;0;TJPE;G1;1175776.0;2021/TJPE/11/G1/TJPE37176202111121636750119216;False;2021-11-12 17:48:39.225;Processado com sucesso
9;689470613;TJPE52433202111121636750115756;37c90a45c210e77162b732b9ea82f616c8c188208aa96a27764feb5a62c95b76;7;1636750115800;;0;0;0;TJPE;G1;;2021/TJPE/11/G1/TJPE52433202111121636750115756;False;2021-11-12 17:48:35.800;Erro no arquivo
