;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;1201087984;TJPE19017202304171681764823403;e8aed1a45bbe9c7935a30b36a4d838815ad1532b7d23a174747d3e0c8b3cd798;3;1681764823411;;100;100;0;TJPE;TR;681286.0;2023/TJPE/04/TR/TJPE19017202304171681764823403;False;2023-04-17 17:53:43.411;Processado com sucesso
1;1201087981;TJPE89652202304171681764821821;478e6982089c26c3623739b9ac27b7620364fca5e75776b114f9903e06ec932c;3;1681764821830;;100;100;0;TJPE;JE;1132404.0;2023/TJPE/04/JE/TJPE89652202304171681764821821;False;2023-04-17 17:53:41.830;Processado com sucesso
2;1201087976;TJPE67970202304171681764819443;5625056b7cbce4d9b0d9d6960502ec035de28658ed5d5eae1a8f627fa5146085;3;1681764819457;;100;100;0;TJPE;JE;1123517.0;2023/TJPE/04/JE/TJPE67970202304171681764819443;False;2023-04-17 17:53:39.457;Processado com sucesso
3;1201087974;TJPE43294202304171681764817290;8ff47042460029095aaa88de7c4a2ec38e7fd70b31f16eb7f0e47329d4be1009;3;1681764817316;;99;99;0;TJPE;G1;1371077.0;2023/TJPE/04/G1/TJPE43294202304171681764817290;False;2023-04-17 17:53:37.316;Processado com sucesso
4;1201087949;TJPE13426202304171681764802807;2289a4327ea1a71bd5720684dcb1ec044298583d87d960a3baa5c1eb7538ba9a;3;1681764802819;;100;100;0;TJPE;G1;1519175.0;2023/TJPE/04/G1/TJPE13426202304171681764802807;False;2023-04-17 17:53:22.819;Processado com sucesso
5;1201087932;TJPE44054202304171681764786335;a995555df4b15f6287ac2fcbafdfb25a7ec67b46fa73dfce3a44d7b9de87d04b;3;1681764786352;;100;100;0;TJPE;G1;1517050.0;2023/TJPE/04/G1/TJPE44054202304171681764786335;False;2023-04-17 17:53:06.352;Processado com sucesso
6;1201087929;TJPE69259202304171681764783660;a68305d14bdc24b2481dabf36f40a56d1b22fd6baaab6104ef6f3784465ddda5;3;1681764783690;;100;100;0;TJPE;G1;2384722.0;2023/TJPE/04/G1/TJPE69259202304171681764783660;False;2023-04-17 17:53:03.690;Processado com sucesso
7;1201087925;TJPE31298202304171681764780069;c0f87b23113b0000ae7295742930f1142f013857b2a3b2b8a5442f502af83d7d;3;1681764780082;;100;100;0;TJPE;G2;811251.0;2023/TJPE/04/G2/TJPE31298202304171681764780069;False;2023-04-17 17:53:00.082;Processado com sucesso
8;1201087917;TJPE52322202304171681764778126;b623f30123b500efdae8c8b8d60a735fb3c9803f66d080f3d5bff19da2267e04;3;1681764778143;;100;100;0;TJPE;G1;1523422.0;2023/TJPE/04/G1/TJPE52322202304171681764778126;False;2023-04-17 17:52:58.143;Processado com sucesso
9;1201087914;TJPE25283202304171681764775480;0e71ef4b3ece691b2a5bff40a4e251b952ffca55066a1050010d6d2a3f7ece32;3;1681764775498;;100;100;0;TJPE;G1;1478958.0;2023/TJPE/04/G1/TJPE25283202304171681764775480;False;2023-04-17 17:52:55.498;Processado com sucesso
