;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;1353454875;TJPE30925202308021690993848380;fa20c552c105097f9b64a0eb1c2007906cbb75c00475c259013b8f7f513b96b4;3;1690993848387;;95;95;0;TJPE;G1;848276;2023/TJPE/08/G1/TJPE30925202308021690993848380;False;2023-08-02 13:30:48.387;Processado com sucesso
1;1353454832;TJPE25275202308021690993840117;4ee03e6e5124b4f212e76a34d637c49108c2a01d3f942cbd043fd4305314b621;3;1690993840126;;98;98;0;TJPE;G1;1072438;2023/TJPE/08/G1/TJPE25275202308021690993840117;False;2023-08-02 13:30:40.126;Processado com sucesso
2;1353454720;TJPE46582202308021690993832117;5c07b34e6cb9edd9d7446b6fe04f0dd51da6f3f5a9ae4be59f0e6708ca263662;3;1690993832126;;99;99;0;TJPE;G1;879942;2023/TJPE/08/G1/TJPE46582202308021690993832117;False;2023-08-02 13:30:32.126;Processado com sucesso
3;1353454674;TJPE79349202308021690993830480;ed6457a654c4424cb46f238ac5618957d3b53d7fa0876012f297814e6dffa3b2;3;1690993830487;;100;100;0;TJPE;G1;875184;2023/TJPE/08/G1/TJPE79349202308021690993830480;False;2023-08-02 13:30:30.487;Processado com sucesso
4;1353454641;TJPE84135202308021690993829206;a1e52337bda29ce0e3b1467bfbcc5423347a96f3d00cf7d14d3e44e525a41d17;3;1690993829215;;97;97;0;TJPE;G1;842220;2023/TJPE/08/G1/TJPE84135202308021690993829206;False;2023-08-02 13:30:29.215;Processado com sucesso
5;1353454582;TJPE52972202308021690993827156;4b03682a8df3ea05b1e735de9a75bf9bd6c20dc086a93172eb57f68d02145871;3;1690993827165;;100;100;0;TJPE;G1;914839;2023/TJPE/08/G1/TJPE52972202308021690993827156;False;2023-08-02 13:30:27.165;Processado com sucesso
6;1353454528;TJPE36421202308021690993825197;dc3a528b8b6065ba1344e8fbaa5aa7d84955c21f679b5b4476e7bf2bf82a772c;3;1690993825204;;93;93;0;TJPE;G1;788382;2023/TJPE/08/G1/TJPE36421202308021690993825197;False;2023-08-02 13:30:25.204;Processado com sucesso
7;1353454485;TJPE18291202308021690993823611;9e91271a3a1dd1bcc77f5237c77dafcb93d5ddf57717ecd7414b993952a21ad3;3;1690993823621;;100;100;0;TJPE;G1;1066571;2023/TJPE/08/G1/TJPE18291202308021690993823611;False;2023-08-02 13:30:23.621;Processado com sucesso
