;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;851617169;TJPE90613202205201653075444977;105e2eaa30d97b28f7182dfcdd97c0b213c3122643b91344d6ea0ed9877cd604;3;1653075444983;;100;66;0;TJPE;G1;743867;2022/TJPE/05/G1/TJPE90613202205201653075444977;False;2022-05-20 16:37:24.983;Processado com sucesso
1;851616426;TJPE91459202205201653075433831;d6b2059b2468c6b2b3aec0f2b9abceb13d973891405029d28bb9c977061d0c72;3;1653075433841;;97;66;0;TJPE;G1;1393352;2022/TJPE/05/G1/TJPE91459202205201653075433831;False;2022-05-20 16:37:13.841;Processado com sucesso
2;851616186;TJPE99756202205201653075430611;8e41d385508e2710de8bd624b07e133474f70fa72e3a72200dc895658712aad9;3;1653075430638;;100;64;0;TJPE;G1;1452424;2022/TJPE/05/G1/TJPE99756202205201653075430611;False;2022-05-20 16:37:10.638;Processado com sucesso
3;851615953;TJPE20175202205201653075427754;11f30237d92ad4a5c78dd916a40fec387aed73f15db02de82f83575faf3172de;3;1653075427760;;100;51;0;TJPE;G1;774461;2022/TJPE/05/G1/TJPE20175202205201653075427754;False;2022-05-20 16:37:07.760;Processado com sucesso
4;851615805;TJPE17141202205201653075426050;8b42f6b884af721dad2d81a5c97fa2d1a2657cf71fd69eac03affc84d62cd3dd;3;1653075426056;;100;41;0;TJPE;G1;770993;2022/TJPE/05/G1/TJPE17141202205201653075426050;False;2022-05-20 16:37:06.056;Processado com sucesso
5;851615670;TJPE82156202205201653075423525;d560dc60a3a3aeb32780bf7b760de9343e2f2e5b9500e96e4508a972fc16467f;3;1653075423539;;98;98;0;TJPE;G1;722067;2022/TJPE/05/G1/TJPE82156202205201653075423525;False;2022-05-20 16:37:03.539;Processado com sucesso
6;851615507;TJPE77151202205201653075421931;4eb899a2b1e207f7b0a9554dd8fb0da46b5503a6f68e28c224b13f3c2111ca40;3;1653075421953;;100;55;0;TJPE;G1;1191860;2022/TJPE/05/G1/TJPE77151202205201653075421931;False;2022-05-20 16:37:01.953;Processado com sucesso
7;851615379;TJPE56856202205201653075419294;94490905d2ee498e3f96f625a5bf9287b763243cc37f41f926aec2ec879588e2;3;1653075419307;;99;57;0;TJPE;G1;664501;2022/TJPE/05/G1/TJPE56856202205201653075419294;False;2022-05-20 16:36:59.307;Processado com sucesso
8;851615236;TJPE45902202205201653075417072;145151c7ae3c0bbed96fae46a1ac90a6d9b1eefe2d2e7f020cafe0ac5d4e7c43;3;1653075417078;;98;51;0;TJPE;G1;687043;2022/TJPE/05/G1/TJPE45902202205201653075417072;False;2022-05-20 16:36:57.078;Processado com sucesso
9;851615079;TJPE44835202205201653075414855;6159c272967194c54f374643c84f3cbf281f1dc6090ad7bb73b98b88192606ca;3;1653075414863;;100;47;0;TJPE;G1;1032595;2022/TJPE/05/G1/TJPE44835202205201653075414855;False;2022-05-20 16:36:54.863;Processado com sucesso
10;851614893;TJPE92727202205201653075412285;5d55dd0e38e9c71c0c2dd3b43cebeb1271ccd3e7c22995e253884fde463fd5aa;3;1653075412298;;100;70;0;TJPE;G1;740761;2022/TJPE/05/G1/TJPE92727202205201653075412285;False;2022-05-20 16:36:52.298;Processado com sucesso
11;851614737;TJPE69942202205201653075410368;78df6764edbc0373dab648979bda20f38c8dcf4c7461c89374a3d85b317e3de8;3;1653075410383;;100;53;0;TJPE;G1;770825;2022/TJPE/05/G1/TJPE69942202205201653075410368;False;2022-05-20 16:36:50.383;Processado com sucesso
12;851614601;TJPE80700202205201653075407948;a582bdbbbccf9ed917b2fde046778f6439bf5d504441c34ccd7303af754da5da;3;1653075407953;;99;66;0;TJPE;G1;699806;2022/TJPE/05/G1/TJPE80700202205201653075407948;False;2022-05-20 16:36:47.953;Processado com sucesso
13;851614425;TJPE70097202205201653075405949;faec2eb9e61d99d9b9a60fa4c7dbcc4fc125a2fb3fba079bbb377dcdb49a3d27;3;1653075405962;;100;100;0;TJPE;G1;710363;2022/TJPE/05/G1/TJPE70097202205201653075405949;False;2022-05-20 16:36:45.962;Processado com sucesso
14;851614273;TJPE87481202205201653075403743;8038adca2c4f73d59f6c50938473896b60abd11e4d1ee1ed1347ccc00f8e361b;3;1653075403757;;98;56;0;TJPE;G1;705666;2022/TJPE/05/G1/TJPE87481202205201653075403743;False;2022-05-20 16:36:43.757;Processado com sucesso
15;851614112;TJPE77560202205201653075401479;8381c1c5bf9121ab08b7403e91ff039da13a9113656fe32dc773054fe5adaf68;3;1653075401485;;98;98;0;TJPE;G1;802696;2022/TJPE/05/G1/TJPE77560202205201653075401479;False;2022-05-20 16:36:41.485;Processado com sucesso
16;851613953;TJPE19304202205201653075399210;e387c0ee64ed72e72ccfc1b5563260aa087a592714cf394c3aacae4669d9c417;3;1653075399225;;100;100;0;TJPE;G1;799924;2022/TJPE/05/G1/TJPE19304202205201653075399210;False;2022-05-20 16:36:39.225;Processado com sucesso
17;851613796;TJPE28063202205201653075396987;0d6dc2aac0854119a84a6b10721c19712509eed447464327986e5bf84656e8fd;3;1653075396996;;100;56;0;TJPE;G1;843352;2022/TJPE/05/G1/TJPE28063202205201653075396987;False;2022-05-20 16:36:36.996;Processado com sucesso
18;851613634;TJPE20574202205201653075394932;e8d30860c5d344f6d5276c2ec6296e247cceda8cf6165ec96bed0ab6a2382e20;3;1653075394944;;100;68;0;TJPE;G1;659286;2022/TJPE/05/G1/TJPE20574202205201653075394932;False;2022-05-20 16:36:34.944;Processado com sucesso
19;851613502;TJPE93908202205201653075392684;b25def1094a031f0747d1c6babdcbc7527c4c0a537d5f93b511f07890c4bb9ec;3;1653075392699;;100;69;0;TJPE;G1;809259;2022/TJPE/05/G1/TJPE93908202205201653075392684;False;2022-05-20 16:36:32.699;Processado com sucesso
20;851613323;TJPE49923202205201653075390413;157f4bcf55e9eff7c6a89a4beabdaefeebdf2f8b6904255a65dcd83b5483362d;3;1653075390418;;100;50;0;TJPE;G1;743466;2022/TJPE/05/G1/TJPE49923202205201653075390413;False;2022-05-20 16:36:30.418;Processado com sucesso
21;851613154;TJPE76419202205201653075387782;2c371bf839e84bc96f11fd823588de1182f48b9fdcfa7666429a62c4fb1cb586;3;1653075387790;;100;100;0;TJPE;G1;1000969;2022/TJPE/05/G1/TJPE76419202205201653075387782;False;2022-05-20 16:36:27.790;Processado com sucesso
22;851612962;TJPE74386202205201653075385710;33bc91a7c01ee39cc6e269de61c1f8b387384d6761921ed3fef5877753a969ae;3;1653075385725;;100;100;0;TJPE;G1;763170;2022/TJPE/05/G1/TJPE74386202205201653075385710;False;2022-05-20 16:36:25.725;Processado com sucesso
23;851612833;TJPE27614202205201653075382096;fadffbfd45f42fd9d1ac3e36f7bca6cb08784e186e7f35e58bbaa355c498664e;3;1653075382151;;100;100;0;TJPE;G1;2985215;2022/TJPE/05/G1/TJPE27614202205201653075382096;False;2022-05-20 16:36:22.151;Processado com sucesso
24;851612405;TJPE16633202205201653075377675;60158367eb817f54c701699e9a11a16da66226684e6e43946eacbe398c708b8e;3;1653075377689;;100;34;0;TJPE;G1;721683;2022/TJPE/05/G1/TJPE16633202205201653075377675;False;2022-05-20 16:36:17.689;Processado com sucesso
25;851612254;TJPE75283202205201653075375149;281f98a7206ee885e5fd69193af57b7a9a107053ff61884072d34b7cc6c186db;3;1653075375167;;100;78;0;TJPE;G1;946461;2022/TJPE/05/G1/TJPE75283202205201653075375149;False;2022-05-20 16:36:15.167;Processado com sucesso
26;851612053;TJPE24603202205201653075372866;68c92ba6abc8e5833cf9de7090c83414331d386eb01e57379aba091d9a1ca875;3;1653075372882;;100;47;0;TJPE;G1;882642;2022/TJPE/05/G1/TJPE24603202205201653075372866;False;2022-05-20 16:36:12.882;Processado com sucesso
27;851611913;TJPE39950202205201653075370588;25750e29db56b3f05cc66cebe7b710a7217e7213b5333789b8a8ee78c22bb090;3;1653075370602;;100;49;0;TJPE;G1;765978;2022/TJPE/05/G1/TJPE39950202205201653075370588;False;2022-05-20 16:36:10.602;Processado com sucesso
28;851610514;TJPE59164202205201653075349671;bec4ff95dd62beb1e5a25781ff790e3c7071ec4ddd370f527b9db988f58eb518;3;1653075349687;;100;100;0;TJPE;G1;796831;2022/TJPE/05/G1/TJPE59164202205201653075349671;False;2022-05-20 16:35:49.687;Processado com sucesso
29;851610351;TJPE65645202205201653075342436;207ca914fef3976643d05bbba614c3ccf01ef1f69d59e97b861ec85604868192;3;1653075342444;;97;97;0;TJPE;G1;703818;2022/TJPE/05/G1/TJPE65645202205201653075342436;False;2022-05-20 16:35:42.444;Processado com sucesso
30;851610169;TJPE33178202205201653075339608;cec2787b09b8731439cbe7889950fd90d8f7ea91b5b654b348750e4fe278af18;3;1653075339622;;100;100;0;TJPE;G1;772642;2022/TJPE/05/G1/TJPE33178202205201653075339608;False;2022-05-20 16:35:39.622;Processado com sucesso
31;851610013;TJPE94779202205201653075337312;c7f722bd9cb5227e2af1bcf5ced4455f6b14df8f308601f55fccebc8f02db40c;3;1653075337316;;100;100;0;TJPE;G1;620569;2022/TJPE/05/G1/TJPE94779202205201653075337312;False;2022-05-20 16:35:37.316;Processado com sucesso
32;851609864;TJPE20930202205201653075335899;92d256daa0f8f998b2b8d3a8dbbdb23753a456a5a94b003bb59ec23dfc7405fc;3;1653075335913;;100;100;0;TJPE;G1;764531;2022/TJPE/05/G1/TJPE20930202205201653075335899;False;2022-05-20 16:35:35.913;Processado com sucesso
33;851609754;TJPE58459202205201653075333139;ad3b12d0c83ea0c9ea636ec65e577198c201d88098897576f6b87759ae799274;3;1653075333149;;100;100;0;TJPE;G1;817297;2022/TJPE/05/G1/TJPE58459202205201653075333139;False;2022-05-20 16:35:33.149;Processado com sucesso
34;851609565;TJPE77775202205201653075331153;2140233b33b04246ac7825e7486568e69675458d85595d6457dd4d85c90de357;3;1653075331173;;100;100;0;TJPE;G1;1024796;2022/TJPE/05/G1/TJPE77775202205201653075331153;False;2022-05-20 16:35:31.173;Processado com sucesso
35;851609414;TJPE51336202205201653075328565;99649ce5ffbee1ed3f761ba67e8f78affca940f780bf99da06334d6e531fd66f;3;1653075328573;;100;100;0;TJPE;G1;746023;2022/TJPE/05/G1/TJPE51336202205201653075328565;False;2022-05-20 16:35:28.573;Processado com sucesso
36;851609269;TJPE68160202205201653075326293;0237c87817319583853d2948830fc18a4389f5bcb0960cdf347a3e14f8b37e2e;3;1653075326307;;99;99;0;TJPE;G1;729011;2022/TJPE/05/G1/TJPE68160202205201653075326293;False;2022-05-20 16:35:26.307;Processado com sucesso
