;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;796938619;TJPE94058202204131649825578791;4bd1a068c552b139f9e366fbadf19b8d44727130259827eac10e71e3579e04a8;3;1649825578815;;100;100;0;TJPE;G1;1208040.0;2022/TJPE/04/G1/TJPE94058202204131649825578791;False;2022-04-13 01:52:58.815;Processado com sucesso
1;796938593;TJPE77835202204131649825576568;c3c5d91e89d65a8579889cc524a57eddd5ffd02c01c8cd1283036f45a5ba84cf;7;1649825576599;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE77835202204131649825576568;False;2022-04-13 01:52:56.599;Erro no arquivo
2;796938553;TJPE95403202204131649825573805;e6cb7cf27be47dfdc914de76807f3a20c50291e068cf6fa4f3deb6a83b633883;7;1649825573823;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE95403202204131649825573805;False;2022-04-13 01:52:53.823;Erro no arquivo
3;796938503;TJPE37446202204131649825570654;6b7d3976c038b41b49ae8b648a21b10736b58d92d1eb9b7a3cc51d25acf8309f;7;1649825570679;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE37446202204131649825570654;False;2022-04-13 01:52:50.679;Erro no arquivo
4;796938452;TJPE39370202204131649825567451;291f19d5985ce09a4372cb459ccca905acdb7d57d100f4ebdf31d7705d6ae5f8;3;1649825567473;;97;97;0;TJPE;G1;1179193.0;2022/TJPE/04/G1/TJPE39370202204131649825567451;False;2022-04-13 01:52:47.473;Processado com sucesso
5;796938417;TJPE77074202204131649825565338;5adb1c39a587e55078e83bb165b8a7b0c0518f384226e067200f2f9b356f53c2;7;1649825565400;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE77074202204131649825565338;False;2022-04-13 01:52:45.400;Erro no arquivo
6;796938387;TJPE84678202204131649825563381;f78a2a8b012719e41efa2d539f7f56dd9c90b99da5a4292d4b8d943cbe0889bf;7;1649825563392;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE84678202204131649825563381;False;2022-04-13 01:52:43.392;Erro no arquivo
7;796938336;TJPE83259202204131649825560359;7b793b14faa6316cb91b25ba86d6a1a1a33acbd93da329d5cb5d53d83d91fe0d;3;1649825560374;;100;100;0;TJPE;G1;1310814.0;2022/TJPE/04/G1/TJPE83259202204131649825560359;False;2022-04-13 01:52:40.374;Processado com sucesso
8;796938287;TJPE71228202204131649825557228;ee31fa2fbc3c70c436c1e1ba18ace62c4767fb5d305c71fba00263a61aa17ec7;3;1649825557251;;100;100;0;TJPE;G1;1275256.0;2022/TJPE/04/G1/TJPE71228202204131649825557228;False;2022-04-13 01:52:37.251;Processado com sucesso
9;796938253;TJPE95582202204131649825554967;2d499ba72dea203a4cb6a89ed8e99d00cb56e078c43a1edab9058a38336b669c;7;1649825554979;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE95582202204131649825554967;False;2022-04-13 01:52:34.979;Erro no arquivo
10;796938219;TJPE12924202204131649825553427;90002f49327b208534b95109bf2d33f9ddb9ba55d7513e3a8d5ceaac92a5ac4d;3;1649825553440;;99;99;0;TJPE;G1;1160109.0;2022/TJPE/04/G1/TJPE12924202204131649825553427;False;2022-04-13 01:52:33.440;Processado com sucesso
11;796938191;TJPE12181202204131649825551461;e06ae909cd1dc5872a283f08d62d284056496d534f26dca3ce5e13e1ac16a32d;3;1649825551482;;99;99;0;TJPE;G1;1156189.0;2022/TJPE/04/G1/TJPE12181202204131649825551461;False;2022-04-13 01:52:31.482;Processado com sucesso
12;796938153;TJPE91715202204131649825549045;2532c1552d56e88bd32294e37abc56747afb1f5c892072421a4e47796385389a;7;1649825549070;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE91715202204131649825549045;False;2022-04-13 01:52:29.070;Erro no arquivo
13;796938108;TJPE58911202204131649825546109;fdd368e24f5509295bb582b7540b3c144770ee49f187c4ba822e6eeb27d6b686;3;1649825546125;;100;100;0;TJPE;G1;1271408.0;2022/TJPE/04/G1/TJPE58911202204131649825546109;False;2022-04-13 01:52:26.125;Processado com sucesso
14;796938068;TJPE44017202204131649825543425;eb0e0a2e668547bbecf357edbe6ae5503ada61cdc5c44944172901f3f630e328;3;1649825543449;;99;99;0;TJPE;G1;1323894.0;2022/TJPE/04/G1/TJPE44017202204131649825543425;False;2022-04-13 01:52:23.449;Processado com sucesso
15;796938032;TJPE94595202204131649825541235;e900a98330c6551ca260b3917caef8ca6ca3856a6f1c24ce6edb9e450ff2c979;7;1649825541250;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE94595202204131649825541235;False;2022-04-13 01:52:21.250;Erro no arquivo
16;796937985;TJPE17987202204131649825538595;8dec9803932594e8cb5676ca3c6b9d37db58861a5b04334a8570e338126d0c82;7;1649825538611;;0;0;0;TJPE;G1;;2022/TJPE/04/G1/TJPE17987202204131649825538595;False;2022-04-13 01:52:18.611;Erro no arquivo
