;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;979069922;TJPE23804202208251661427626399;c08690f7625f0b36e8b5d78045dab4059e9724cfb48892fdb778525a1266dad1;3;1661427626406;;100;100;0;TJPE;G1;899871;2022/TJPE/08/G1/TJPE23804202208251661427626399;False;2022-08-25 08:40:26.406;Processado com sucesso
1;979069921;TJPE45658202208251661427622137;061ffd8cb119c3bafd18dda6fb0a70eef401a6d45289a0936dba715c869a005b;3;1661427622153;;100;100;0;TJPE;G1;1386702;2022/TJPE/08/G1/TJPE45658202208251661427622137;False;2022-08-25 08:40:22.153;Processado com sucesso
2;979069920;TJPE56307202208251661427619912;315f2a2a2219bfcc967640d23a41c84b0d4ebeeeb67496e1840c6b20dd00119a;3;1661427619927;;100;100;0;TJPE;G1;1138393;2022/TJPE/08/G1/TJPE56307202208251661427619912;False;2022-08-25 08:40:19.927;Processado com sucesso
3;979069919;TJPE62519202208251661427617888;40c325e5b09f8a651a5ff3f64203eae8042b31415ac5e25ec45a23091937550a;3;1661427617897;;100;100;0;TJPE;G1;1255503;2022/TJPE/08/G1/TJPE62519202208251661427617888;False;2022-08-25 08:40:17.897;Processado com sucesso
4;979069918;TJPE99393202208251661427615838;f4160071ca19ac3be19f77cd93e11ccd8e7709bef0827afd8a7eac4ba2955d92;3;1661427615851;;100;100;0;TJPE;G1;1090865;2022/TJPE/08/G1/TJPE99393202208251661427615838;False;2022-08-25 08:40:15.851;Processado com sucesso
5;979069917;TJPE12644202208251661427613913;24e4bce2b1c4525ac924eb12110492fb54caa22c599db9d0c08d5376dd12c5c0;3;1661427613933;;99;99;0;TJPE;JE;1070780;2022/TJPE/08/JE/TJPE12644202208251661427613913;False;2022-08-25 08:40:13.933;Processado com sucesso
6;979069916;TJPE38350202208251661427612019;2adcca5c8f6a311b914e2adb6ffd518f1942d67498d04f7fbf0d867572f0ec2e;3;1661427612037;;100;100;0;TJPE;G1;960777;2022/TJPE/08/G1/TJPE38350202208251661427612019;False;2022-08-25 08:40:12.037;Processado com sucesso
7;979069915;TJPE51322202208251661427610150;8f4cb2ecaca7491ebaa5bf9fd54435d18bc08be10559ab2cf5f42703fed8fa11;3;1661427610158;;100;100;0;TJPE;G1;1070828;2022/TJPE/08/G1/TJPE51322202208251661427610150;False;2022-08-25 08:40:10.158;Processado com sucesso
8;979069914;TJPE81243202208251661427608211;edc3d0a7830976639dec6761d53198f9cf8e4dce195615443c255b781e3e9cd3;3;1661427608217;;100;100;0;TJPE;G1;823824;2022/TJPE/08/G1/TJPE81243202208251661427608211;False;2022-08-25 08:40:08.217;Processado com sucesso
9;979069913;TJPE78543202208251661427606522;74473a59fc8ffcfe704f9df5066e80764339e4c622177b54cc4df7a17630fd1e;3;1661427606533;;100;100;0;TJPE;G1;935168;2022/TJPE/08/G1/TJPE78543202208251661427606522;False;2022-08-25 08:40:06.533;Processado com sucesso
10;979069912;TJPE68661202208251661427604649;7d3f353cc7ecbd1765a63e60a50ee1c3bad1d358ba5df03508fa67474ed1f6a0;3;1661427604668;;100;100;0;TJPE;G1;1278935;2022/TJPE/08/G1/TJPE68661202208251661427604649;False;2022-08-25 08:40:04.668;Processado com sucesso
11;979069911;TJPE64105202208251661427602380;f8138967faafe0ad8d4736050643768703eecc428c0704453ac9f7ee6a0b0b8f;3;1661427602387;;100;100;0;TJPE;G1;940001;2022/TJPE/08/G1/TJPE64105202208251661427602380;False;2022-08-25 08:40:02.387;Processado com sucesso
12;979069910;TJPE11811202208251661427600556;a1600ddb6871d833d694ed57d7156210bd4218525eafaf5d990587f4d3dea6ef;3;1661427600569;;100;100;0;TJPE;G1;1150234;2022/TJPE/08/G1/TJPE11811202208251661427600556;False;2022-08-25 08:40:00.569;Processado com sucesso
13;979069909;TJPE40164202208251661427598637;53d1ae56b4040c32998ce29608f0f41d0e9232abd5da6c6e49075abd0a34e5a9;3;1661427598646;;100;100;0;TJPE;G1;1169762;2022/TJPE/08/G1/TJPE40164202208251661427598637;False;2022-08-25 08:39:58.646;Processado com sucesso
15;979069907;TJPE64485202208251661427596466;26c392e2a4467357cd9753d18a6df67f06ec9a29edc1d1b099bb96da71ec695e;3;1661427596487;;100;100;0;TJPE;G1;1043337;2022/TJPE/08/G1/TJPE64485202208251661427596466;False;2022-08-25 08:39:56.487;Processado com sucesso
16;979069906;TJPE21185202208251661427543094;c6acee42303b33e405e8b92389d8cf5182d32e970886ede7a88e99162c05f6b1;3;1661427543117;;98;98;0;TJPE;G1;1555705;2022/TJPE/08/G1/TJPE21185202208251661427543094;False;2022-08-25 08:39:03.117;Processado com sucesso
17;979069905;TJPE80074202208251661427540707;c5c3346b5026b26def328d106dbc46e7363ba0b3c0ed6158ff74c2c705597551;3;1661427540718;;100;100;0;TJPE;G1;1326420;2022/TJPE/08/G1/TJPE80074202208251661427540707;False;2022-08-25 08:39:00.718;Processado com sucesso
18;979069904;TJPE89577202208251661427538565;7dd867d327b4f41441896fb57b3ec5f2c87758d05ae06cbea56a28ca247f546d;3;1661427538575;;100;100;0;TJPE;G1;1244948;2022/TJPE/08/G1/TJPE89577202208251661427538565;False;2022-08-25 08:38:58.575;Processado com sucesso
19;979069903;TJPE50997202208251661427535654;273f235dd7ccc375fd3a20f17206ba17bb7fbfb428fa61ec568b58e2237b5018;3;1661427535669;;100;100;0;TJPE;G1;1212986;2022/TJPE/08/G1/TJPE50997202208251661427535654;False;2022-08-25 08:38:55.669;Processado com sucesso
20;979069902;TJPE70468202208251661427526666;5008473c110f19676dfa3f4ffc6a46913867809aec694be89ce543d7d4b80c92;3;1661427526694;;100;100;0;TJPE;G1;1416208;2022/TJPE/08/G1/TJPE70468202208251661427526666;False;2022-08-25 08:38:46.694;Processado com sucesso
21;979069901;TJPE70945202208251661427524518;6ecb1b7a9114a4cb16435c82657436f1db27b746fa94d85a5657e714cf085d6d;3;1661427524527;;100;100;0;TJPE;G1;1118698;2022/TJPE/08/G1/TJPE70945202208251661427524518;False;2022-08-25 08:38:44.527;Processado com sucesso
22;979069900;TJPE75637202208251661427521978;6f3a36cb6faaf316863c3ffd61703941f4bd11a39cff06d282ee78abfbdb0f1c;3;1661427521997;;100;100;0;TJPE;G1;1440425;2022/TJPE/08/G1/TJPE75637202208251661427521978;False;2022-08-25 08:38:41.997;Processado com sucesso
23;979069899;TJPE84916202208251661427519746;5ffc01e126a6837febb1822ea5aa893c154a3d8cefd533bb0f56fc485137cb51;3;1661427519753;;100;100;0;TJPE;G1;969796;2022/TJPE/08/G1/TJPE84916202208251661427519746;False;2022-08-25 08:38:39.753;Processado com sucesso
