;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;677740232;TJPE59529202110291635551996415;4b9bc69b0f57f645632fef4b4a28dcaa365c0fac9e7a66ea2b2f21a6e6945481;7;1635551996456;;0;0;0;TJPE;G1;;2021/TJPE/10/G1/TJPE59529202110291635551996415;False;2021-10-29 20:59:56.456;Erro no arquivo
1;677739684;TJPE24543202110291635551984508;b8a43d5c5aa735e1a710c14dfa29b2e963ebb25e2309e429082541df9a19ffc5;7;1635551984523;;0;0;0;TJPE;G1;;2021/TJPE/10/G1/TJPE24543202110291635551984508;False;2021-10-29 20:59:44.523;Erro no arquivo
2;677739274;TJPE75243202110291635551977877;ccb896bf5832148b8f5dc5d1a787e6b7a2dfa23ed6ccd3454b58428599e97416;3;1635551977891;;100;100;0;TJPE;G1;1857854.0;2021/TJPE/10/G1/TJPE75243202110291635551977877;False;2021-10-29 20:59:37.891;Processado com sucesso
3;677738886;TJPE77747202110291635551967057;5320500862d48bba7ea120d7e203b2f6bd23333dbaa971f84045b65e567ed889;3;1635551967083;;100;100;0;TJPE;G1;2000526.0;2021/TJPE/10/G1/TJPE77747202110291635551967057;False;2021-10-29 20:59:27.083;Processado com sucesso
4;677738086;TJPE99642202110291635551953241;b81259e578189e1450d7538ed49600e4472301f6754ccfc5ec7b7c4876d65a96;3;1635551953274;;100;100;0;TJPE;G1;1801262.0;2021/TJPE/10/G1/TJPE99642202110291635551953241;False;2021-10-29 20:59:13.274;Processado com sucesso
5;677737927;TJPE38734202110291635551947976;7ac11ab872122d675b24681649a3822430a80741fe7e120918b7c0323aa5a94a;7;1635551948002;;0;0;0;TJPE;G1;;2021/TJPE/10/G1/TJPE38734202110291635551947976;False;2021-10-29 20:59:08.002;Erro no arquivo
6;677737365;TJPE82470202110291635551938672;a23e074aa9d923b7f5b3853006b5739d5d8ef20d1acf52084f66ba1eb1c8b6b6;3;1635551938694;;100;100;0;TJPE;G1;2916486.0;2021/TJPE/10/G1/TJPE82470202110291635551938672;False;2021-10-29 20:58:58.694;Processado com sucesso
7;677736327;TJPE98090202110291635551917278;c32c0f9601b4a75075d02925f3c43e286916237f14cd33f014f15fbbee87598e;3;1635551917303;;100;100;0;TJPE;G1;1747003.0;2021/TJPE/10/G1/TJPE98090202110291635551917278;False;2021-10-29 20:58:37.303;Processado com sucesso
8;677735968;TJPE23483202110291635551908351;c7885223d52fed0e297c4accbd68896ac25759710feba4a6e54d5605e8df58af;7;1635551908367;;0;0;0;TJPE;G1;;2021/TJPE/10/G1/TJPE23483202110291635551908351;False;2021-10-29 20:58:28.367;Erro no arquivo
9;677735370;TJPE68224202110291635551893897;17bea4d9d88afeb596c1c6bcf39a97c3527f0dbdeefe41b81bae0443dfecd0c2;3;1635551893915;;100;100;0;TJPE;G1;2358953.0;2021/TJPE/10/G1/TJPE68224202110291635551893897;False;2021-10-29 20:58:13.915;Processado com sucesso
