;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;703206204;TJPE83515202112011638401803121;263dc982c12c6e6db65584f89852ae8c15f20fd3aaf27d078f5eebad68aded76;7;1638401803132;;0;0;0;TJPE;G1;;2021/TJPE/12/G1/TJPE83515202112011638401803121;False;2021-12-01 20:36:43.132;Erro no arquivo
1;703206191;TJPE61420202112011638401799199;5752f565206a88d409686d78901de049a471059328b0250872371ea340b31e0b;3;1638401799209;;100;100;0;TJPE;JE;1244529.0;2021/TJPE/12/JE/TJPE61420202112011638401799199;False;2021-12-01 20:36:39.209;Processado com sucesso
2;703206185;TJPE60750202112011638401797209;31a6480ab27135310a5d3f260324ca4f3591f87be2d6d3ad9dd4903d7a249330;3;1638401797218;;100;100;0;TJPE;JE;1177688.0;2021/TJPE/12/JE/TJPE60750202112011638401797209;False;2021-12-01 20:36:37.218;Processado com sucesso
3;703206171;TJPE12713202112011638401794373;57816733d09bc1122b3c3776e7d342ef335e6d0f61d185d4326d94499ff523a4;3;1638401794396;;100;100;0;TJPE;JE;1282951.0;2021/TJPE/12/JE/TJPE12713202112011638401794373;False;2021-12-01 20:36:34.396;Processado com sucesso
4;703206160;TJPE75143202112011638401791534;150e986e98ad97242e26acd30e32eb75c6b123ab70920c9a5128978d4e2b76b7;3;1638401791566;;100;100;0;TJPE;JE;1297538.0;2021/TJPE/12/JE/TJPE75143202112011638401791534;False;2021-12-01 20:36:31.566;Processado com sucesso
5;703206137;TJPE72576202112011638401789577;d78cd5888ca514126ef57eda693530304594602687edeb8912599cfdc34e1707;3;1638401789587;;100;100;0;TJPE;G1;1303343.0;2021/TJPE/12/G1/TJPE72576202112011638401789577;False;2021-12-01 20:36:29.587;Processado com sucesso
6;703206120;TJPE99759202112011638401787504;605222524a7023897e2b2836d14327258880100b317bb9b4f117e13410f4f15c;3;1638401787516;;100;100;0;TJPE;JE;1449378.0;2021/TJPE/12/JE/TJPE99759202112011638401787504;False;2021-12-01 20:36:27.516;Processado com sucesso
7;703206099;TJPE56785202112011638401785388;04020dea75e222c8e9a847dd38a4b711a94c79bbef2500b61b157ed6425688f7;7;1638401785405;;0;0;0;TJPE;G1;;2021/TJPE/12/G1/TJPE56785202112011638401785388;False;2021-12-01 20:36:25.405;Erro no arquivo
8;703206074;TJPE81248202112011638401782713;98ac76874616e667ded47d7fa8df480586d992d5ef1865a5162f5438b521c051;3;1638401782762;;100;100;0;TJPE;G1;1762917.0;2021/TJPE/12/G1/TJPE81248202112011638401782713;False;2021-12-01 20:36:22.762;Processado com sucesso
9;703206049;TJPE74448202112011638401780098;c0f2510e884b53851444772ebbb03dc53c6c28ac9263c16dbb891646915c7623;3;1638401780126;;100;100;0;TJPE;G1;1487661.0;2021/TJPE/12/G1/TJPE74448202112011638401780098;False;2021-12-01 20:36:20.126;Processado com sucesso
10;703206001;TJPE26269202112011638401771759;eea5a0ff35d45eb04860af7a1db6aa15f040b230384620f223751fa06933a8be;7;1638401771770;;0;0;0;TJPE;G1;;2021/TJPE/12/G1/TJPE26269202112011638401771759;False;2021-12-01 20:36:11.770;Erro no arquivo
11;703205979;TJPE11035202112011638401765319;cd50cc37626da01c9e1e47b9b9200d9cfc997ddab7c876dcea34f96764d2ecbb;3;1638401765329;;100;100;0;TJPE;G1;1389736.0;2021/TJPE/12/G1/TJPE11035202112011638401765319;False;2021-12-01 20:36:05.329;Processado com sucesso
12;703205953;TJPE82836202112011638401757105;b64001b5e25b7f5449bb811be6262c0bd464386f0f60e00e4698b8a8a222b79c;3;1638401757131;;100;100;0;TJPE;JE;1331742.0;2021/TJPE/12/JE/TJPE82836202112011638401757105;False;2021-12-01 20:35:57.131;Processado com sucesso
13;703205936;TJPE95256202112011638401752041;9b2ec20228a0de3ad89532cb27cd8da431f7b1ec4dff0a6f52adab39ebe1a8de;3;1638401752050;;100;100;0;TJPE;JE;1146263.0;2021/TJPE/12/JE/TJPE95256202112011638401752041;False;2021-12-01 20:35:52.050;Processado com sucesso
14;703205709;TJPE11561202112011638401716253;214d3412ad59c81cadcaa678bd300718015e12cb90163d2c8f32e347673517d6;3;1638401716266;;100;100;0;TJPE;G1;1574495.0;2021/TJPE/12/G1/TJPE11561202112011638401716253;False;2021-12-01 20:35:16.266;Processado com sucesso
15;703205690;TJPE64224202112011638401713866;dfb816ec9c08f762c6605fa07d4adf377a5df8d492036affb024e5c6a610a0d1;7;1638401713888;;0;0;0;TJPE;G1;;2021/TJPE/12/G1/TJPE64224202112011638401713866;False;2021-12-01 20:35:13.888;Erro no arquivo
16;703205682;TJPE50806202112011638401711990;e572e77d828588980029c9f5f619f32a30ee7a0fba9b157a7d0a419404a0198e;7;1638401712013;;0;0;0;TJPE;G1;;2021/TJPE/12/G1/TJPE50806202112011638401711990;False;2021-12-01 20:35:12.013;Erro no arquivo
17;703205674;TJPE56231202112011638401709866;6bc49b84121af01a0ad6d48043d15676a4a725cc1c4b0649aa65ff6793f2e1da;3;1638401709899;;100;100;0;TJPE;G1;1751364.0;2021/TJPE/12/G1/TJPE56231202112011638401709866;False;2021-12-01 20:35:09.899;Processado com sucesso
18;703205660;TJPE45940202112011638401707387;378c92718e0196aabf07dbcedaab119b7c6ae6850472646957a3ba2926732360;3;1638401707395;;100;100;0;TJPE;G1;1084973.0;2021/TJPE/12/G1/TJPE45940202112011638401707387;False;2021-12-01 20:35:07.395;Processado com sucesso
