;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;742720693;TJPE64645202201141642138689773;88634fd9b577e3cc9a0c3e0a3a14acc433d1309ee6f7e94027e3d6bbdf463a1f;7;1642138689786;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE64645202201141642138689773;False;2022-01-14 02:38:09.786;Erro no arquivo
1;742720689;TJPE52271202201141642138686492;e6a32d47e1e08789c1e613770ccf5a3e29a0e5e289e35815575338963f01a940;3;1642138686499;;100;100;0;TJPE;JE;919921.0;2022/TJPE/01/JE/TJPE52271202201141642138686492;False;2022-01-14 02:38:06.499;Processado com sucesso
2;742720684;TJPE77530202201141642138684399;323a7cd6ec5d7b204cc688d334b73fe9803f7d4e64a27607fd4888091a9f6ef8;3;1642138684426;;99;99;0;TJPE;G1;1250036.0;2022/TJPE/01/G1/TJPE77530202201141642138684399;False;2022-01-14 02:38:04.426;Processado com sucesso
3;742720679;TJPE72936202201141642138681342;a566f3d059546d75d952b0a3d943816d68a210fd6dee641219c9133801da27b9;7;1642138681349;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE72936202201141642138681342;False;2022-01-14 02:38:01.349;Erro no arquivo
4;742720674;TJPE60478202201141642138678527;5fc3184ba092c6b9f05ed202bf2c7b98fc127ee7d147f0e84128f40c56a06f1b;7;1642138678535;;0;0;0;TJPE;JE;;2022/TJPE/01/JE/TJPE60478202201141642138678527;False;2022-01-14 02:37:58.535;Erro no arquivo
5;742720670;TJPE71701202201141642138675999;a96120a4cafa11a868d748050c0b3095330b593fe196bc65888cd7e70ddb0950;3;1642138676009;;98;98;0;TJPE;G1;1254570.0;2022/TJPE/01/G1/TJPE71701202201141642138675999;False;2022-01-14 02:37:56.009;Processado com sucesso
6;742720666;TJPE66305202201141642138673351;594704a7843082ad4b19d3a90bc29707d33fbac0b880462c9f7af05cc17e9b3d;7;1642138673372;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE66305202201141642138673351;False;2022-01-14 02:37:53.372;Erro no arquivo
7;742720663;TJPE44378202201141642138670640;2c19a5807e303dfbfe01d66b79006e7936056f11b57df3b3790327e105f5c8d9;3;1642138670716;;100;100;0;TJPE;TR;673710.0;2022/TJPE/01/TR/TJPE44378202201141642138670640;False;2022-01-14 02:37:50.716;Processado com sucesso
8;742720659;TJPE34218202201141642138668971;80cdde2420df341f95b917e92ee8890b5ea8f6ace76e4cf0f311f323d159e764;3;1642138668989;;100;100;0;TJPE;G1;1441061.0;2022/TJPE/01/G1/TJPE34218202201141642138668971;False;2022-01-14 02:37:48.989;Processado com sucesso
9;742720655;TJPE45166202201141642138666098;c0913a0aee309f08fc94c433049d740efcd7b2856e033638c707e6f8c6f6e89b;7;1642138666107;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE45166202201141642138666098;False;2022-01-14 02:37:46.107;Erro no arquivo
10;742720649;TJPE35395202201141642138662781;47d34819aba85e1b3942fdc9751ab35188d0e29c369a4d04829d7ff8b6f659c2;3;1642138662795;;100;100;0;TJPE;JE;582784.0;2022/TJPE/01/JE/TJPE35395202201141642138662781;False;2022-01-14 02:37:42.795;Processado com sucesso
11;742720647;TJPE22293202201141642138661189;70f13d6f38f4c0b25484d5f9dd395441e8b24602154495b3f9bd4f2289d87638;7;1642138661202;;0;0;0;TJPE;JE;;2022/TJPE/01/JE/TJPE22293202201141642138661189;False;2022-01-14 02:37:41.202;Erro no arquivo
12;742720643;TJPE21800202201141642138658932;2c98f58e9f8a6ffd46ffedc1e0b14093be49c6c6077542dde4b796ef4292b21e;3;1642138659110;;97;97;0;TJPE;G1;1199162.0;2022/TJPE/01/G1/TJPE21800202201141642138658932;False;2022-01-14 02:37:39.110;Processado com sucesso
13;742720639;TJPE90129202201141642138656490;e3049101f52f965a9b624406387843b0135cd8e948ea9fb71f4550e82db33764;7;1642138656504;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE90129202201141642138656490;False;2022-01-14 02:37:36.504;Erro no arquivo
14;742720635;TJPE31240202201141642138654395;65c18b7abb08c192d57e4a06c49840fa6a90969a785e00b6ae8aba6644ccda17;3;1642138654406;;98;98;0;TJPE;G1;1357269.0;2022/TJPE/01/G1/TJPE31240202201141642138654395;False;2022-01-14 02:37:34.406;Processado com sucesso
15;742720630;TJPE24667202201141642138652033;f715c06612c3f447d77a13960bfb61867b88857b230eddca1b0fe70dbe6a0e4f;7;1642138652049;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE24667202201141642138652033;False;2022-01-14 02:37:32.049;Erro no arquivo
16;742720628;TJPE59694202201141642138650313;840ffa99c7abfc1f990059b7654d998419bbbf5abde5df48917126620ea08e62;7;1642138650320;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE59694202201141642138650313;False;2022-01-14 02:37:30.320;Erro no arquivo
17;742720625;TJPE27594202201141642138648130;e2858599b2fd1b3501af21a661b74e8cd8227368b855809d29070aaa23d3e8bb;3;1642138648139;;100;100;0;TJPE;JE;1182656.0;2022/TJPE/01/JE/TJPE27594202201141642138648130;False;2022-01-14 02:37:28.139;Processado com sucesso
18;742720620;TJPE35176202201141642138645901;57a8cf33f5b25f4ee2de1012507bf81277bf535f59d90e03d77d4190dd7ed40d;3;1642138645916;;100;100;0;TJPE;G2;791431.0;2022/TJPE/01/G2/TJPE35176202201141642138645901;False;2022-01-14 02:37:25.916;Processado com sucesso
