;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;951844797;TJPE43447202208101660171021502;2fb6eb7d517b321ebfcf6835bf2d6fa0647b5592d77e19a5e6d7825f627a9049;3;1660171021505;;100;100;0;TJPE;G1;469966;2022/TJPE/08/G1/TJPE43447202208101660171021502;False;2022-08-10 19:37:01.505;Processado com sucesso
1;951844796;TJPE38726202208101660171020133;d9ba7e5552a76223260c2775f5b13b5f6ccb18b665631c52b4bfe1f65f533c2a;3;1660171020140;;100;100;0;TJPE;G1;843941;2022/TJPE/08/G1/TJPE38726202208101660171020133;False;2022-08-10 19:37:00.140;Processado com sucesso
2;951844771;TJPE44183202208101660171018287;207a913bf8af0d71608fdd0ed2820365dbccc96c5f52881313831cdd3cdc8246;3;1660171018299;;100;100;0;TJPE;JE;1063648;2022/TJPE/08/JE/TJPE44183202208101660171018287;False;2022-08-10 19:36:58.299;Processado com sucesso
3;951844744;TJPE23597202208101660171016306;1f2a37c4ccbc18551127746d516d89fdef95ed26e4fac4fd79c80df650657434;3;1660171016311;;100;100;0;TJPE;G1;668551;2022/TJPE/08/G1/TJPE23597202208101660171016306;False;2022-08-10 19:36:56.311;Processado com sucesso
4;951844725;TJPE13908202208101660171014604;bb19043cf6dafa5ddf9d8c67e53f20d129ffecf437aa1aa14402efb5a2c3f7df;3;1660171014607;;100;100;0;TJPE;G1;449054;2022/TJPE/08/G1/TJPE13908202208101660171014604;False;2022-08-10 19:36:54.607;Processado com sucesso
5;951844724;TJPE91051202208101660171013262;c5dfaf8f57bee1440fa6c182619f7b7f0f764870c8c7bc40a72a3bf339fa105c;3;1660171013266;;100;100;0;TJPE;G1;434530;2022/TJPE/08/G1/TJPE91051202208101660171013262;False;2022-08-10 19:36:53.266;Processado com sucesso
6;951844709;TJPE69722202208101660171011795;41a1557aad486c940464ca30deac2063b6fe3a6718b900617091420ad63b8de2;3;1660171011800;;100;100;0;TJPE;G1;436881;2022/TJPE/08/G1/TJPE69722202208101660171011795;False;2022-08-10 19:36:51.800;Processado com sucesso
7;951844690;TJPE83853202208101660171010082;a1ecb373dda841306f9c48be9992977b44b69e76cc3af5a61b3064b98d3ce6d8;3;1660171010089;;100;100;0;TJPE;G1;960623;2022/TJPE/08/G1/TJPE83853202208101660171010082;False;2022-08-10 19:36:50.089;Processado com sucesso
8;951844667;TJPE35493202208101660171008262;86b36de1d2cb2bddf0060dfe918c0ac85e50ec475be9817bdb02b5a7f5b294dd;3;1660171008273;;100;100;0;TJPE;JE;1322000;2022/TJPE/08/JE/TJPE35493202208101660171008262;False;2022-08-10 19:36:48.273;Processado com sucesso
9;951844626;TJPE88738202208101660171003905;5b42f32995860aa4e6b4ca35a89e61176f0a870f52d3887694ad416e842d5662;3;1660171003909;;100;100;0;TJPE;G1;477634;2022/TJPE/08/G1/TJPE88738202208101660171003905;False;2022-08-10 19:36:43.909;Processado com sucesso
10;951844584;TJPE15949202208101660171001135;d2ff252edba71bb82176e3d54532a044e8bea1f996def7f1efd0e92e5c4b7ef9;3;1660171001138;;100;100;0;TJPE;G1;429187;2022/TJPE/08/G1/TJPE15949202208101660171001135;False;2022-08-10 19:36:41.138;Processado com sucesso
11;951844567;TJPE14765202208101660170997289;e7e50042ce0a47f0033d665b60125869639e80abf2ec900d74df259f3d32106f;3;1660170997307;;100;100;0;TJPE;G1;1409229;2022/TJPE/08/G1/TJPE14765202208101660170997289;False;2022-08-10 19:36:37.307;Processado com sucesso
12;951844489;TJPE88649202208101660170989531;8ed70b4a389205a2e471b1217a6bcaf8f9bb6553803ec35c7d6d1c35fc0e54e4;3;1660170989537;;100;100;0;TJPE;G1;505698;2022/TJPE/08/G1/TJPE88649202208101660170989531;False;2022-08-10 19:36:29.537;Processado com sucesso
13;951844438;TJPE47211202208101660170984866;edc72c87ce8494f42b30c12c27ca71bb6603c43b188cb051e72dae5deb2625cc;3;1660170984872;;100;100;0;TJPE;G1;832711;2022/TJPE/08/G1/TJPE47211202208101660170984866;False;2022-08-10 19:36:24.872;Processado com sucesso
14;951844394;TJPE75680202208101660170979155;c2db7fe9fef456136a70cb8e1906cc2a1c1d7a4cd50baff73e5fd75dd77f244a;3;1660170979159;;100;100;0;TJPE;G1;471219;2022/TJPE/08/G1/TJPE75680202208101660170979155;False;2022-08-10 19:36:19.159;Processado com sucesso
15;951844372;TJPE25114202208101660170975184;480f8dc04e79e56f631a3a077b47a0f437bb4ab22be1d4933834d495f398c5ed;3;1660170975191;;100;100;0;TJPE;G1;978854;2022/TJPE/08/G1/TJPE25114202208101660170975184;False;2022-08-10 19:36:15.191;Processado com sucesso
16;951844319;TJPE45296202208101660170967575;ff5bf2bf21bea564f006eb66ca5f4a7ca5f6705b40f2f3e48bb565f2881d41de;3;1660170967586;;100;100;0;TJPE;G1;1321584;2022/TJPE/08/G1/TJPE45296202208101660170967575;False;2022-08-10 19:36:07.586;Processado com sucesso
17;951844259;TJPE55046202208101660170964054;ffe2cba0db69f426f11918ffa24991c3b5d541c196dad3bb8214a59da0363e97;3;1660170964062;;100;100;0;TJPE;JE;1020970;2022/TJPE/08/JE/TJPE55046202208101660170964054;False;2022-08-10 19:36:04.062;Processado com sucesso
18;951844239;TJPE62662202208101660170960325;bd1936a41180feb61e7e25243b8ec66e9647a3ec2e3d137c03f16523303fe921;3;1660170960333;;100;100;0;TJPE;JE;1162268;2022/TJPE/08/JE/TJPE62662202208101660170960325;False;2022-08-10 19:36:00.333;Processado com sucesso
19;951844147;TJPE29797202208101660170953240;b2006316a2458db43a1d2d09f78aa33ce1650a8a5e8abab1a7491450b385dc79;3;1660170953245;;100;100;0;TJPE;G1;665839;2022/TJPE/08/G1/TJPE29797202208101660170953240;False;2022-08-10 19:35:53.245;Processado com sucesso
20;951844099;TJPE43363202208101660170950208;b48db520fcf92f2e15b32aa6936bacd8e0baed12f91d5704c1d40d0639ffe3d2;3;1660170950211;;100;100;0;TJPE;G1;428382;2022/TJPE/08/G1/TJPE43363202208101660170950208;False;2022-08-10 19:35:50.211;Processado com sucesso
